Date,Room,Type,Description,Additional Description
2025-08-21T04:57:40.668,103,Value monitoring,DND 0 -> 1,
2025-08-13T12:19:15.865,101,Value monitoring,Door 1 -> 0,
2025-08-13T12:19:18.666,101,Value monitoring,Door 0 -> 1,
2025-08-13T12:21:37.280,101,Value monitoring,Door 1 -> 0,
2025-08-13T12:21:42.497,101,Value monitoring,Door 0 -> 1,
2025-08-20T03:45:40.974,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:45:41.004,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:45:50.622,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:45:50.632,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:46:00.549,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:46:00.559,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:46:02.907,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:46:02.917,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:46:10.608,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:46:10.616,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:46:22.622,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:46:22.628,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:46:32.532,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:46:32.596,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:46:32.672,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:46:32.735,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:46:40.402,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:46:40.427,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:46:52.719,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:46:52.730,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:47:02.283,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:47:02.292,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:47:02.303,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:47:02.311,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:47:12.565,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:47:12.574,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:47:22.183,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:47:22.195,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:47:31.572,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:47:31.577,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:47:31.587,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:47:31.596,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:47:41.489,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:47:41.501,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:47:51.588,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:47:51.593,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:48:01.195,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:48:01.201,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:48:01.210,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:48:01.219,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:48:14.113,103,Value monitoring,DND 1 -> 0,
